TXNAME	GENEID
Sevir.1G004000.1.v2.1	Sevir.1G004000
Sevir.1G004100.1.v2.1	Sevir.1G004100
Sevir.1G004100.2.v2.1	Sevir.1G004100
Sevir.1G004100.3.v2.1	Sevir.1G004100
Sevir.1G004100.4.v2.1	Sevir.1G004100
Sevir.1G004200.1.v2.1	Sevir.1G004200
Sevir.1G004300.1.v2.1	Sevir.1G004300
Sevir.1G004400.2.v2.1	Sevir.1G004400
Sevir.1G004500.1.v2.1	Sevir.1G004500
Sevir.1G004600.1.v2.1	Sevir.1G004600
Sevir.1G004700.1.v2.1	Sevir.1G004700
Sevir.1G004800.1.v2.1	Sevir.1G004800
Sevir.1G004900.1.v2.1	Sevir.1G004900
Sevir.1G005000.1.v2.1	Sevir.1G005000
Sevir.1G005100.1.v2.1	Sevir.1G005100
Sevir.1G005200.1.v2.1	Sevir.1G005200
Sevir.1G005300.1.v2.1	Sevir.1G005300
Sevir.1G005400.1.v2.1	Sevir.1G005400
Sevir.1G005500.1.v2.1	Sevir.1G005500
Sevir.1G005600.1.v2.1	Sevir.1G005600
Sevir.1G005600.2.v2.1	Sevir.1G005600
Sevir.1G005600.3.v2.1	Sevir.1G005600
Sevir.1G005600.5.v2.1	Sevir.1G005600
Sevir.1G005600.6.v2.1	Sevir.1G005600
Sevir.1G005600.7.v2.1	Sevir.1G005600
Sevir.1G005700.1.v2.1	Sevir.1G005700
Sevir.1G005700.2.v2.1	Sevir.1G005700
Sevir.1G005800.3.v2.1	Sevir.1G005800
Sevir.1G005900.2.v2.1	Sevir.1G005900
Sevir.1G005900.3.v2.1	Sevir.1G005900
Sevir.1G006000.1.v2.1	Sevir.1G006000
Sevir.1G006100.1.v2.1	Sevir.1G006100
Sevir.1G006200.2.v2.1	Sevir.1G006200
Sevir.1G006300.1.v2.1	Sevir.1G006300
Sevir.1G006400.1.v2.1	Sevir.1G006400
Sevir.1G006500.1.v2.1	Sevir.1G006500
Sevir.1G006500.2.v2.1	Sevir.1G006500
Sevir.1G006600.1.v2.1	Sevir.1G006600
Sevir.1G006600.2.v2.1	Sevir.1G006600
Sevir.1G006600.3.v2.1	Sevir.1G006600
Sevir.1G006700.1.v2.1	Sevir.1G006700
Sevir.1G006800.1.v2.1	Sevir.1G006800
Sevir.1G006900.1.v2.1	Sevir.1G006900
Sevir.1G006900.2.v2.1	Sevir.1G006900
Sevir.1G007000.1.v2.1	Sevir.1G007000
Sevir.1G007100.1.v2.1	Sevir.1G007100
Sevir.1G007200.1.v2.1	Sevir.1G007200
Sevir.1G007200.2.v2.1	Sevir.1G007200
Sevir.1G007200.3.v2.1	Sevir.1G007200
Sevir.1G007200.4.v2.1	Sevir.1G007200
Sevir.1G007200.5.v2.1	Sevir.1G007200
Sevir.1G007200.6.v2.1	Sevir.1G007200
Sevir.1G007200.7.v2.1	Sevir.1G007200
Sevir.1G007300.1.v2.1	Sevir.1G007300
Sevir.1G007300.2.v2.1	Sevir.1G007300
Sevir.1G007300.3.v2.1	Sevir.1G007300
Sevir.1G007300.4.v2.1	Sevir.1G007300
Sevir.1G007400.1.v2.1	Sevir.1G007400
Sevir.1G007466.1.v2.1	Sevir.1G007466
Sevir.1G007466.2.v2.1	Sevir.1G007466
Sevir.1G007466.3.v2.1	Sevir.1G007466
Sevir.1G007532.1.v2.1	Sevir.1G007532
Sevir.1G007600.2.v2.1	Sevir.1G007600
Sevir.1G007700.1.v2.1	Sevir.1G007700
Sevir.1G007700.2.v2.1	Sevir.1G007700
Sevir.1G007700.3.v2.1	Sevir.1G007700
Sevir.1G007733.1.v2.1	Sevir.1G007733
Sevir.1G007766.1.v2.1	Sevir.1G007766
Sevir.1G007800.1.v2.1	Sevir.1G007800
Sevir.1G007900.1.v2.1	Sevir.1G007900
Sevir.1G008000.1.v2.1	Sevir.1G008000
Sevir.1G008000.2.v2.1	Sevir.1G008000
Sevir.1G008100.1.v2.1	Sevir.1G008100
Sevir.1G008200.1.v2.1	Sevir.1G008200
Sevir.1G008300.1.v2.1	Sevir.1G008300
Sevir.1G008400.2.v2.1	Sevir.1G008400
Sevir.1G008500.1.v2.1	Sevir.1G008500
Sevir.1G008600.1.v2.1	Sevir.1G008600
Sevir.1G008700.1.v2.1	Sevir.1G008700
Sevir.1G008801.1.v2.1	Sevir.1G008801
Sevir.1G008801.2.v2.1	Sevir.1G008801
Sevir.1G008801.3.v2.1	Sevir.1G008801
Sevir.1G008801.4.v2.1	Sevir.1G008801
Sevir.1G008801.5.v2.1	Sevir.1G008801
Sevir.1G008801.6.v2.1	Sevir.1G008801
Sevir.1G008801.7.v2.1	Sevir.1G008801
Sevir.1G008801.8.v2.1	Sevir.1G008801
Sevir.1G008900.1.v2.1	Sevir.1G008900
Sevir.1G009000.1.v2.1	Sevir.1G009000
Sevir.1G009100.1.v2.1	Sevir.1G009100
Sevir.1G009100.2.v2.1	Sevir.1G009100
Sevir.1G009100.3.v2.1	Sevir.1G009100
Sevir.1G009100.4.v2.1	Sevir.1G009100
Sevir.1G009100.5.v2.1	Sevir.1G009100
Sevir.1G009200.1.v2.1	Sevir.1G009200
Sevir.1G009300.1.v2.1	Sevir.1G009300
Sevir.1G009300.10.v2.1	Sevir.1G009300
Sevir.1G009300.6.v2.1	Sevir.1G009300
Sevir.1G009300.7.v2.1	Sevir.1G009300
Sevir.1G009300.8.v2.1	Sevir.1G009300
Sevir.1G009300.9.v2.1	Sevir.1G009300
Sevir.1G009400.1.v2.1	Sevir.1G009400
Sevir.1G009500.1.v2.1	Sevir.1G009500
Sevir.1G009600.1.v2.1	Sevir.1G009600
Sevir.1G009700.1.v2.1	Sevir.1G009700
Sevir.1G009700.2.v2.1	Sevir.1G009700
Sevir.1G009900.1.v2.1	Sevir.1G009900
Sevir.1G010000.1.v2.1	Sevir.1G010000
Sevir.1G010100.1.v2.1	Sevir.1G010100
Sevir.1G010200.1.v2.1	Sevir.1G010200
Sevir.1G010300.1.v2.1	Sevir.1G010300
Sevir.1G010300.2.v2.1	Sevir.1G010300
Sevir.1G010400.1.v2.1	Sevir.1G010400
Sevir.1G010500.1.v2.1	Sevir.1G010500
Sevir.1G010600.1.v2.1	Sevir.1G010600
Sevir.1G010700.1.v2.1	Sevir.1G010700
Sevir.1G010800.1.v2.1	Sevir.1G010800
Sevir.1G010900.1.v2.1	Sevir.1G010900
Sevir.1G010950.1.v2.1	Sevir.1G010950
Sevir.1G011000.2.v2.1	Sevir.1G011000
Sevir.1G011066.1.v2.1	Sevir.1G011066
Sevir.1G011132.1.v2.1	Sevir.1G011132
Sevir.1G011200.1.v2.1	Sevir.1G011200
Sevir.1G011300.1.v2.1	Sevir.1G011300
Sevir.1G011366.1.v2.1	Sevir.1G011366
Sevir.1G011432.1.v2.1	Sevir.1G011432
Sevir.1G011500.1.v2.1	Sevir.1G011500
Sevir.1G011500.2.v2.1	Sevir.1G011500
Sevir.1G011550.1.v2.1	Sevir.1G011550
Sevir.1G011600.1.v2.1	Sevir.1G011600
Sevir.1G011700.2.v2.1	Sevir.1G011700
Sevir.1G011750.1.v2.1	Sevir.1G011750
Sevir.1G011800.1.v2.1	Sevir.1G011800
Sevir.1G011800.2.v2.1	Sevir.1G011800
Sevir.1G011800.3.v2.1	Sevir.1G011800
Sevir.1G011900.1.v2.1	Sevir.1G011900
Sevir.1G011900.2.v2.1	Sevir.1G011900
Sevir.1G011900.3.v2.1	Sevir.1G011900
Sevir.1G012000.1.v2.1	Sevir.1G012000
Sevir.1G012100.1.v2.1	Sevir.1G012100
Sevir.1G012200.1.v2.1	Sevir.1G012200
Sevir.1G012300.1.v2.1	Sevir.1G012300
Sevir.1G012350.1.v2.1	Sevir.1G012350
Sevir.1G012400.1.v2.1	Sevir.1G012400
Sevir.1G012500.1.v2.1	Sevir.1G012500
Sevir.1G012600.1.v2.1	Sevir.1G012600
Sevir.1G012650.1.v2.1	Sevir.1G012650
Sevir.1G012700.1.v2.1	Sevir.1G012700
Sevir.1G012700.2.v2.1	Sevir.1G012700
Sevir.1G012800.1.v2.1	Sevir.1G012800
Sevir.1G012900.1.v2.1	Sevir.1G012900
Sevir.1G013000.1.v2.1	Sevir.1G013000
Sevir.1G013100.1.v2.1	Sevir.1G013100
Sevir.1G013200.1.v2.1	Sevir.1G013200
Sevir.1G013300.1.v2.1	Sevir.1G013300
Sevir.1G013400.1.v2.1	Sevir.1G013400
Sevir.1G013450.1.v2.1	Sevir.1G013450
Sevir.1G013500.1.v2.1	Sevir.1G013500
Sevir.1G013600.1.v2.1	Sevir.1G013600
Sevir.1G013700.1.v2.1	Sevir.1G013700
Sevir.1G013800.1.v2.1	Sevir.1G013800
Sevir.1G013900.1.v2.1	Sevir.1G013900
Sevir.1G014000.2.v2.1	Sevir.1G014000
Sevir.1G014000.3.v2.1	Sevir.1G014000
Sevir.1G014100.1.v2.1	Sevir.1G014100
Sevir.1G014200.1.v2.1	Sevir.1G014200
Sevir.1G014200.2.v2.1	Sevir.1G014200
Sevir.1G014200.3.v2.1	Sevir.1G014200
Sevir.1G014200.4.v2.1	Sevir.1G014200
Sevir.1G014250.1.v2.1	Sevir.1G014250
Sevir.1G014300.2.v2.1	Sevir.1G014300
Sevir.1G014400.1.v2.1	Sevir.1G014400
Sevir.1G014400.2.v2.1	Sevir.1G014400
Sevir.1G014500.1.v2.1	Sevir.1G014500
Sevir.1G014600.1.v2.1	Sevir.1G014600
Sevir.1G014700.1.v2.1	Sevir.1G014700
Sevir.1G014800.1.v2.1	Sevir.1G014800
Sevir.1G014900.1.v2.1	Sevir.1G014900
Sevir.1G015000.1.v2.1	Sevir.1G015000
Sevir.1G015100.1.v2.1	Sevir.1G015100
Sevir.1G015200.1.v2.1	Sevir.1G015200
Sevir.1G015250.1.v2.1	Sevir.1G015250
Sevir.1G015250.2.v2.1	Sevir.1G015250
Sevir.1G015250.3.v2.1	Sevir.1G015250
Sevir.1G015300.1.v2.1	Sevir.1G015300
Sevir.1G015300.2.v2.1	Sevir.1G015300
Sevir.1G015300.3.v2.1	Sevir.1G015300
Sevir.1G015300.4.v2.1	Sevir.1G015300
Sevir.1G015300.6.v2.1	Sevir.1G015300
Sevir.1G015400.2.v2.1	Sevir.1G015400
Sevir.1G015400.3.v2.1	Sevir.1G015400
Sevir.1G015450.1.v2.1	Sevir.1G015450
Sevir.1G015500.1.v2.1	Sevir.1G015500
Sevir.1G015500.2.v2.1	Sevir.1G015500
Sevir.1G015500.3.v2.1	Sevir.1G015500
Sevir.1G015600.1.v2.1	Sevir.1G015600
Sevir.1G015650.1.v2.1	Sevir.1G015650
Sevir.1G015700.1.v2.1	Sevir.1G015700
Sevir.1G015750.1.v2.1	Sevir.1G015750
Sevir.1G015801.1.v2.1	Sevir.1G015801
Sevir.1G015851.1.v2.1	Sevir.1G015851
Sevir.1G015900.1.v2.1	Sevir.1G015900
Sevir.1G016000.1.v2.1	Sevir.1G016000
Sevir.1G016200.1.v2.1	Sevir.1G016200
Sevir.1G016300.1.v2.1	Sevir.1G016300
Sevir.1G016300.2.v2.1	Sevir.1G016300
Sevir.1G016300.3.v2.1	Sevir.1G016300
Sevir.1G016300.4.v2.1	Sevir.1G016300
Sevir.1G016400.1.v2.1	Sevir.1G016400
Sevir.1G016500.1.v2.1	Sevir.1G016500
Sevir.1G016600.1.v2.1	Sevir.1G016600
Sevir.1G016600.2.v2.1	Sevir.1G016600
Sevir.1G016700.1.v2.1	Sevir.1G016700
Sevir.1G016800.2.v2.1	Sevir.1G016800
Sevir.1G016850.1.v2.1	Sevir.1G016850
Sevir.1G016900.1.v2.1	Sevir.1G016900
Sevir.1G017000.1.v2.1	Sevir.1G017000
Sevir.1G017100.1.v2.1	Sevir.1G017100
Sevir.1G017150.1.v2.1	Sevir.1G017150
Sevir.1G017200.1.v2.1	Sevir.1G017200
Sevir.1G017400.1.v2.1	Sevir.1G017400
Sevir.1G017500.1.v2.1	Sevir.1G017500
Sevir.1G017600.1.v2.1	Sevir.1G017600
Sevir.1G017600.2.v2.1	Sevir.1G017600
Sevir.1G017600.3.v2.1	Sevir.1G017600
Sevir.1G017700.1.v2.1	Sevir.1G017700
Sevir.1G017800.1.v2.1	Sevir.1G017800
Sevir.1G017900.1.v2.1	Sevir.1G017900
Sevir.1G018000.1.v2.1	Sevir.1G018000
Sevir.1G018100.1.v2.1	Sevir.1G018100
Sevir.1G018200.1.v2.1	Sevir.1G018200
Sevir.1G018300.1.v2.1	Sevir.1G018300
Sevir.1G018400.1.v2.1	Sevir.1G018400
Sevir.1G018500.1.v2.1	Sevir.1G018500
Sevir.1G018600.1.v2.1	Sevir.1G018600
Sevir.1G018700.1.v2.1	Sevir.1G018700
Sevir.1G018800.1.v2.1	Sevir.1G018800
Sevir.1G018900.1.v2.1	Sevir.1G018900
Sevir.1G019000.1.v2.1	Sevir.1G019000
Sevir.1G019000.2.v2.1	Sevir.1G019000
Sevir.1G019000.3.v2.1	Sevir.1G019000
Sevir.1G019100.1.v2.1	Sevir.1G019100
Sevir.1G019201.1.v2.1	Sevir.1G019201
Sevir.1G019300.1.v2.1	Sevir.1G019300
Sevir.1G019400.1.v2.1	Sevir.1G019400
Sevir.1G019500.1.v2.1	Sevir.1G019500
Sevir.1G019600.1.v2.1	Sevir.1G019600
Sevir.1G019600.2.v2.1	Sevir.1G019600
Sevir.1G019600.3.v2.1	Sevir.1G019600
Sevir.1G019600.4.v2.1	Sevir.1G019600
Sevir.1G019600.5.v2.1	Sevir.1G019600
Sevir.1G019600.6.v2.1	Sevir.1G019600
Sevir.1G019700.1.v2.1	Sevir.1G019700
Sevir.1G019800.1.v2.1	Sevir.1G019800
Sevir.1G019900.1.v2.1	Sevir.1G019900
Sevir.1G020000.1.v2.1	Sevir.1G020000
Sevir.1G020050.1.v2.1	Sevir.1G020050
Sevir.1G020100.1.v2.1	Sevir.1G020100
Sevir.1G020200.1.v2.1	Sevir.1G020200
Sevir.1G020250.1.v2.1	Sevir.1G020250
Sevir.1G020300.1.v2.1	Sevir.1G020300
Sevir.1G020300.2.v2.1	Sevir.1G020300
Sevir.1G020400.7.v2.1	Sevir.1G020400
Sevir.1G020500.1.v2.1	Sevir.1G020500
Sevir.1G020600.1.v2.1	Sevir.1G020600
Sevir.1G020700.1.v2.1	Sevir.1G020700
Sevir.1G020800.1.v2.1	Sevir.1G020800
Sevir.1G020900.2.v2.1	Sevir.1G020900
Sevir.1G020950.1.v2.1	Sevir.1G020950
Sevir.1G021000.1.v2.1	Sevir.1G021000
Sevir.1G021100.1.v2.1	Sevir.1G021100
Sevir.1G021200.1.v2.1	Sevir.1G021200
Sevir.1G021250.1.v2.1	Sevir.1G021250
Sevir.1G021300.1.v2.1	Sevir.1G021300
Sevir.1G021400.1.v2.1	Sevir.1G021400
Sevir.1G021400.2.v2.1	Sevir.1G021400
Sevir.1G021400.3.v2.1	Sevir.1G021400
Sevir.1G021400.4.v2.1	Sevir.1G021400
Sevir.1G021500.1.v2.1	Sevir.1G021500
Sevir.1G021600.2.v2.1	Sevir.1G021600
Sevir.1G021700.1.v2.1	Sevir.1G021700
Sevir.1G021800.1.v2.1	Sevir.1G021800
Sevir.1G021900.1.v2.1	Sevir.1G021900
Sevir.1G022000.1.v2.1	Sevir.1G022000
Sevir.1G022100.1.v2.1	Sevir.1G022100
Sevir.1G022200.1.v2.1	Sevir.1G022200
Sevir.1G022300.1.v2.1	Sevir.1G022300
Sevir.1G022400.1.v2.1	Sevir.1G022400
Sevir.1G022500.1.v2.1	Sevir.1G022500
Sevir.1G022600.1.v2.1	Sevir.1G022600
Sevir.1G022700.2.v2.1	Sevir.1G022700
Sevir.1G022800.1.v2.1	Sevir.1G022800
Sevir.1G022900.1.v2.1	Sevir.1G022900
Sevir.1G023000.1.v2.1	Sevir.1G023000
Sevir.1G023000.3.v2.1	Sevir.1G023000
Sevir.1G023100.1.v2.1	Sevir.1G023100
Sevir.1G023200.1.v2.1	Sevir.1G023200
Sevir.1G023300.1.v2.1	Sevir.1G023300
Sevir.1G023401.1.v2.1	Sevir.1G023401
Sevir.1G023500.1.v2.1	Sevir.1G023500
Sevir.1G023600.1.v2.1	Sevir.1G023600
Sevir.1G023700.1.v2.1	Sevir.1G023700
Sevir.1G023800.1.v2.1	Sevir.1G023800
Sevir.1G024000.1.v2.1	Sevir.1G024000
Sevir.1G024100.1.v2.1	Sevir.1G024100
Sevir.1G024200.1.v2.1	Sevir.1G024200
Sevir.1G024300.1.v2.1	Sevir.1G024300
Sevir.1G024400.1.v2.1	Sevir.1G024400
Sevir.1G024500.1.v2.1	Sevir.1G024500
Sevir.1G024600.1.v2.1	Sevir.1G024600
Sevir.1G024600.2.v2.1	Sevir.1G024600
Sevir.1G024700.1.v2.1	Sevir.1G024700
Sevir.1G024800.1.v2.1	Sevir.1G024800
Sevir.1G024900.1.v2.1	Sevir.1G024900
Sevir.1G025000.1.v2.1	Sevir.1G025000
Sevir.1G025000.2.v2.1	Sevir.1G025000
Sevir.1G025000.3.v2.1	Sevir.1G025000
Sevir.1G025000.4.v2.1	Sevir.1G025000
Sevir.1G025100.1.v2.1	Sevir.1G025100
Sevir.1G025200.1.v2.1	Sevir.1G025200
Sevir.1G025233.1.v2.1	Sevir.1G025233
Sevir.1G025266.1.v2.1	Sevir.1G025266
Sevir.1G025300.1.v2.1	Sevir.1G025300
Sevir.1G025400.1.v2.1	Sevir.1G025400
Sevir.1G025500.1.v2.1	Sevir.1G025500
Sevir.1G025600.1.v2.1	Sevir.1G025600
Sevir.1G025700.1.v2.1	Sevir.1G025700
Sevir.1G025800.1.v2.1	Sevir.1G025800
Sevir.1G025800.2.v2.1	Sevir.1G025800
Sevir.1G025900.1.v2.1	Sevir.1G025900
Sevir.1G026000.1.v2.1	Sevir.1G026000
Sevir.1G026100.1.v2.1	Sevir.1G026100
Sevir.1G026150.1.v2.1	Sevir.1G026150
Sevir.1G026200.1.v2.1	Sevir.1G026200
Sevir.1G026300.1.v2.1	Sevir.1G026300
Sevir.1G026400.1.v2.1	Sevir.1G026400
Sevir.1G026500.1.v2.1	Sevir.1G026500
Sevir.1G026600.1.v2.1	Sevir.1G026600
Sevir.1G026700.1.v2.1	Sevir.1G026700
Sevir.1G026800.1.v2.1	Sevir.1G026800
Sevir.1G026900.2.v2.1	Sevir.1G026900
Sevir.1G027000.1.v2.1	Sevir.1G027000
Sevir.1G027100.1.v2.1	Sevir.1G027100
Sevir.1G027200.1.v2.1	Sevir.1G027200
Sevir.1G027300.1.v2.1	Sevir.1G027300
Sevir.1G027400.1.v2.1	Sevir.1G027400
Sevir.1G027600.1.v2.1	Sevir.1G027600
Sevir.1G027700.1.v2.1	Sevir.1G027700
Sevir.1G027800.1.v2.1	Sevir.1G027800
Sevir.1G027901.1.v2.1	Sevir.1G027901
Sevir.1G028000.1.v2.1	Sevir.1G028000
Sevir.1G028100.1.v2.1	Sevir.1G028100
Sevir.1G028200.1.v2.1	Sevir.1G028200
Sevir.1G028200.2.v2.1	Sevir.1G028200
Sevir.1G028300.1.v2.1	Sevir.1G028300
Sevir.1G028500.1.v2.1	Sevir.1G028500
Sevir.1G028600.1.v2.1	Sevir.1G028600
Sevir.1G028700.1.v2.1	Sevir.1G028700
Sevir.1G028700.2.v2.1	Sevir.1G028700
Sevir.1G028800.1.v2.1	Sevir.1G028800
Sevir.1G028800.2.v2.1	Sevir.1G028800
Sevir.1G028900.1.v2.1	Sevir.1G028900
Sevir.1G028900.2.v2.1	Sevir.1G028900
Sevir.1G029000.1.v2.1	Sevir.1G029000
Sevir.1G029100.1.v2.1	Sevir.1G029100
Sevir.1G029200.1.v2.1	Sevir.1G029200
Sevir.1G029300.1.v2.1	Sevir.1G029300
Sevir.1G029340.1.v2.1	Sevir.1G029340
Sevir.1G029340.2.v2.1	Sevir.1G029340
Sevir.1G029380.1.v2.1	Sevir.1G029380
Sevir.1G029420.1.v2.1	Sevir.1G029420
Sevir.1G029460.1.v2.1	Sevir.1G029460
Sevir.1G029500.1.v2.1	Sevir.1G029500
Sevir.1G029600.1.v2.1	Sevir.1G029600
Sevir.1G029700.1.v2.1	Sevir.1G029700
Sevir.1G029800.4.v2.1	Sevir.1G029800
Sevir.1G029900.1.v2.1	Sevir.1G029900
Sevir.1G030000.1.v2.1	Sevir.1G030000
Sevir.1G030000.2.v2.1	Sevir.1G030000
Sevir.1G030100.1.v2.1	Sevir.1G030100
Sevir.1G030200.1.v2.1	Sevir.1G030200
Sevir.1G030300.1.v2.1	Sevir.1G030300
Sevir.1G030400.1.v2.1	Sevir.1G030400
Sevir.1G030500.1.v2.1	Sevir.1G030500
Sevir.1G030600.1.v2.1	Sevir.1G030600
Sevir.1G030700.1.v2.1	Sevir.1G030700
Sevir.1G030800.1.v2.1	Sevir.1G030800
Sevir.1G030900.1.v2.1	Sevir.1G030900
Sevir.1G030950.1.v2.1	Sevir.1G030950
Sevir.1G031000.3.v2.1	Sevir.1G031000
Sevir.1G031100.2.v2.1	Sevir.1G031100
Sevir.1G031100.3.v2.1	Sevir.1G031100
Sevir.1G031100.4.v2.1	Sevir.1G031100
Sevir.1G031100.5.v2.1	Sevir.1G031100
Sevir.1G031100.6.v2.1	Sevir.1G031100
Sevir.1G031100.7.v2.1	Sevir.1G031100
Sevir.1G031100.8.v2.1	Sevir.1G031100
Sevir.1G031100.9.v2.1	Sevir.1G031100
Sevir.1G031200.1.v2.1	Sevir.1G031200
Sevir.1G031300.1.v2.1	Sevir.1G031300
Sevir.1G031300.2.v2.1	Sevir.1G031300
Sevir.1G031400.1.v2.1	Sevir.1G031400
Sevir.1G031400.2.v2.1	Sevir.1G031400
Sevir.1G031400.3.v2.1	Sevir.1G031400
Sevir.1G031500.1.v2.1	Sevir.1G031500
Sevir.1G031600.1.v2.1	Sevir.1G031600
Sevir.1G031700.1.v2.1	Sevir.1G031700
Sevir.1G031800.1.v2.1	Sevir.1G031800
Sevir.1G031900.1.v2.1	Sevir.1G031900
Sevir.1G032000.1.v2.1	Sevir.1G032000
Sevir.1G032100.1.v2.1	Sevir.1G032100
Sevir.1G032100.2.v2.1	Sevir.1G032100
Sevir.1G032200.1.v2.1	Sevir.1G032200
Sevir.1G032200.2.v2.1	Sevir.1G032200
Sevir.1G032200.3.v2.1	Sevir.1G032200
Sevir.1G032300.1.v2.1	Sevir.1G032300
Sevir.1G032350.1.v2.1	Sevir.1G032350
Sevir.1G032400.1.v2.1	Sevir.1G032400
Sevir.1G032600.1.v2.1	Sevir.1G032600
Sevir.1G032800.1.v2.1	Sevir.1G032800
Sevir.1G032900.1.v2.1	Sevir.1G032900
Sevir.1G033000.1.v2.1	Sevir.1G033000
Sevir.1G033000.2.v2.1	Sevir.1G033000
Sevir.1G033000.3.v2.1	Sevir.1G033000
Sevir.1G033100.1.v2.1	Sevir.1G033100
Sevir.1G033200.1.v2.1	Sevir.1G033200
Sevir.1G033250.1.v2.1	Sevir.1G033250
Sevir.1G033250.10.v2.1	Sevir.1G033250
Sevir.1G033250.11.v2.1	Sevir.1G033250
Sevir.1G033250.12.v2.1	Sevir.1G033250
Sevir.1G033250.13.v2.1	Sevir.1G033250
Sevir.1G033250.14.v2.1	Sevir.1G033250
Sevir.1G033250.15.v2.1	Sevir.1G033250
Sevir.1G033250.2.v2.1	Sevir.1G033250
Sevir.1G033250.3.v2.1	Sevir.1G033250
Sevir.1G033250.4.v2.1	Sevir.1G033250
Sevir.1G033250.5.v2.1	Sevir.1G033250
Sevir.1G033250.6.v2.1	Sevir.1G033250
Sevir.1G033250.7.v2.1	Sevir.1G033250
Sevir.1G033250.8.v2.1	Sevir.1G033250
Sevir.1G033250.9.v2.1	Sevir.1G033250
Sevir.1G033300.1.v2.1	Sevir.1G033300
Sevir.1G033400.2.v2.1	Sevir.1G033400
Sevir.1G033400.3.v2.1	Sevir.1G033400
Sevir.1G033400.4.v2.1	Sevir.1G033400
Sevir.1G033400.5.v2.1	Sevir.1G033400
Sevir.1G033500.1.v2.1	Sevir.1G033500
Sevir.1G033600.1.v2.1	Sevir.1G033600
Sevir.1G033700.1.v2.1	Sevir.1G033700
Sevir.1G033800.1.v2.1	Sevir.1G033800
Sevir.1G033900.1.v2.1	Sevir.1G033900
Sevir.1G034000.1.v2.1	Sevir.1G034000
Sevir.1G034100.1.v2.1	Sevir.1G034100
Sevir.1G034200.1.v2.1	Sevir.1G034200
Sevir.1G034300.1.v2.1	Sevir.1G034300
Sevir.1G034400.1.v2.1	Sevir.1G034400
Sevir.1G034500.1.v2.1	Sevir.1G034500
Sevir.1G034500.2.v2.1	Sevir.1G034500
Sevir.1G034600.1.v2.1	Sevir.1G034600
Sevir.1G034700.1.v2.1	Sevir.1G034700
Sevir.1G034800.1.v2.1	Sevir.1G034800
Sevir.1G034800.2.v2.1	Sevir.1G034800
Sevir.1G034800.3.v2.1	Sevir.1G034800
Sevir.1G034800.4.v2.1	Sevir.1G034800
Sevir.1G034800.5.v2.1	Sevir.1G034800
Sevir.1G034800.6.v2.1	Sevir.1G034800
